CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Kommireddipalli B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0587890,80.5370240
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Munukulla B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.1158720,80.5743960
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Suravaram B.O,521109,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6344510,80.8598270
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Rajagopalapuram B.O,521110,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6615140,80.9144560
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Rangannagudem B.O,521110,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6338560,80.9108180
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Umamaheswarapuram B.O,521110,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.0292000,81.2923000
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Veleru B.O,521110,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6490440,80.9366760
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Galigopuram B.O,521109,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.5751900,80.8967060
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Chintalapadu B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0177270,80.5586550
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Vamukuntla B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0650570,80.5711160
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Vavilala B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0964130,80.5356220
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Gullapudi B.O,521403,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0504340,80.5043680
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Vinagadapa B.O,521403,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9454260,80.5740840
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Tunikipadu B.O,521401,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.9815440,80.3864540
